OBJECTID,LANDUSECODE,LANDUSEDESC,BASEELEV,HEIGHT,Revision,Priordraft,Area,Perimeter,ACREAGE,GlobalID,LASTUPDATE,LASTEDITOR,SHAPE_Length,SHAPE_Area
1969,CC,,,, , ,0,3359.18514683,6.18,{1DE2AC58-5798-423F-B763-B108061EEC04},2020/02/07 21:12:12+00,Payne.Ringling,3359.18564811288,269087.705150186
1970,SF-LOW,,,, , ,0,1611.24595741,2.87,{D3B513D0-EA84-4C53-88A1-4D8232EBAF50},2020/02/07 21:12:12+00,Payne.Ringling,1611.24519544728,124830.468464534
1971,SF-LOW,,,, , ,0,566.04122024,0.31,{EC9D431C-E130-482B-BF6E-995B204BA1A5},2020/02/07 21:12:12+00,Payne.Ringling,566.040846424391,13630.1737846815
1972,SF-LOW,,,, , ,0,1252.95425419,2.03,{1604AEF3-A553-429A-9412-A82FC19AB8CF},2020/02/07 21:12:12+00,Payne.Ringling,1416.75900651436,99589.4202772604
1973,SF-LOW,,,, , ,0,1821.94034069,4.09,{2463DD3E-EB6A-4B57-899A-899087F00B60},2020/02/07 21:12:12+00,Payne.Ringling,1821.94046977793,178259.914998013
1974,SF-VL,,,, , ,0,1658.59041094,3.36,{123494BE-C67D-4B3A-84C9-D7330709ABAB},2020/02/07 21:12:12+00,Payne.Ringling,1658.59032754202,146490.831127716
1975,SF-LOW,,,, , ,0,1634.03127895,2.99,{FBF1490D-4EE1-456C-A017-B0C2F297787A},2020/02/07 21:12:12+00,Payne.Ringling,1634.03063550389,130213.893943792
1976,SF-LOW,,,, , ,0,1648.3683226,3.02,{43113427-8080-4385-938F-2D5717F07539},2020/02/07 21:12:12+00,Payne.Ringling,1648.36806094361,131760.351842801
1977,SF-LOW,,,, , ,0,1607.21507295,2.84,{882163F7-F253-456B-829B-1CA46B83DEFD},2020/02/07 21:12:12+00,Payne.Ringling,1607.21472889084,123514.64417319
1978,SF-LOW,,,, , ,0,711.07401323,0.67,{3F74B5F9-4B70-4134-9FFC-0D2D05C1A8D8},2020/02/07 21:12:12+00,Payne.Ringling,711.07357917054,29120.3207468779
1979,SF-LOW,,,, , ,0,1108.864976,1.63,{D5D8C13B-D201-4D79-9364-993FEBE7818B},2020/02/07 21:12:12+00,Payne.Ringling,1275.87543067026,82953.7119800936
1980,SF-LOW,,,, , ,0,1634.24114237,2.47,{FE9DEC1C-D2A8-499E-AA4C-11CE4B323A6E},2020/02/07 21:12:12+00,Payne.Ringling,1634.24019001789,107416.109697416
